number;group;name;suggested_cost_price;extra_cost;sales_price;unit_id;stock_quantity;description;min_inventory_quantity;min_sales_quantity;min_purchase_quantity;barcode;default_location_id;variation_id;weight;weight_unit;width;height;depth;size_unit;supplier_product_number;is_barred;discount_group;image_url;Har batchstyring;has_serial_numbers;default_supplier_id
SOL-53041020;25;CIRClip DIN 472 I-20; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-53042004;25;CIRClip DIN 6799 4; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-53052310;25;Pin DIN 1481 4-20; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-54030008;25;Washer DIN 125-8 INOX.; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-54030010;25;Washer DIN 125-10 INOX.; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-54102103;25;Bolt DIN 933 M5-8 INOX.; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-54102104;25;Bolt DIN 933 M5-10 INOX.; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-54102154;25;Bolt DIN 933 M6-10 INOX; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-54106057;25;ROD. DIN 916 M4-20 INOX.; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-54112153;25;ROD. DIN 914 M6-8 INOX.; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-54120008;25;Nut DIN 934 M8; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-56000006;25;Washer 8-12-1; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
